[2018-11-16 13:23:15,970] INFO  Enter TestBase setUp
[2018-11-16 13:30:43,745] INFO  Enter startNetworkTunnel() ...
[2018-11-16 13:30:43,745] INFO  Starting Process with -  C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 13:30:43,745] INFO  Path = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 13:30:43,766] INFO  Process started - C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 13:30:43,767] INFO  Exit TestBase setUp
[2018-11-16 13:30:43,775] INFO  Enter testSampleNetworkTunnelTest()
[2018-11-16 13:31:30,859] INFO  Loading Local App = http://192.168.1.4
[2018-11-16 13:31:31,879] INFO  XPATH Query = //*[@nodeName='PRE']
[2018-11-16 13:32:43,767] INFO  Enter tearDown()
[2018-11-16 13:32:43,767] INFO  destroying network tunnel process
[2018-11-16 13:42:33,886] INFO  Enter TestBase setUp
[2018-11-16 13:42:33,889] INFO  Enter TestBase setUp
[2018-11-16 13:42:33,893] INFO  Enter loadInitProperties() ...
[2018-11-16 13:42:33,896] INFO  --------- List Of Properties ---------
[2018-11-16 13:42:34,032] INFO  Key = seetest.network.tunnelpath ; Value = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 13:42:34,032] INFO  Key = xpath.query ; Value = //*[@nodeName='PRE']
[2018-11-16 13:42:34,032] INFO  Key = ios.app.name ; Value = com.experitest.ExperiBank
[2018-11-16 13:42:34,032] INFO  Key = local.app.url ; Value = http://192.168.1.4
[2018-11-16 13:42:34,032] INFO  Key = android.app.name ; Value = com.experitest.ExperiBank/.LoginActivity
[2018-11-16 13:42:34,032] INFO  Key = seetest.cloud.url ; Value = https://cloud.seetest.io:443/wd/hub
[2018-11-16 13:42:34,032] INFO  Key = expected_value ; Value = Hello World!
[2018-11-16 13:42:34,032] INFO  --------- END ---------
[2018-11-16 13:42:34,032] INFO  Exit loadInitProperties() ...
[2018-11-16 13:42:34,032] INFO  Setting up Desired Capabilities
[2018-11-16 13:42:34,105] INFO  Device Query = @os='android'
[2018-11-16 13:42:34,105] INFO  Desired Capabilities setup complete
[2018-11-16 13:43:06,125] INFO  Enter startNetworkTunnel() ...
[2018-11-16 13:43:06,127] INFO  Starting Process with -  C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 13:43:06,127] INFO  Path = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 13:43:06,165] INFO  Process started - C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 13:43:06,165] INFO  Exit TestBase setUp
[2018-11-16 13:43:06,177] INFO  Enter testSampleNetworkTunnelTest()
[2018-11-16 13:44:17,034] INFO  Loading Local App = http://192.168.1.4
[2018-11-16 13:44:17,932] INFO  XPATH Query = //*[@nodeName='PRE']
[2018-11-16 13:44:52,298] INFO  Enter tearDown()
[2018-11-16 13:44:52,298] INFO  destroying network tunnel process
[2018-11-16 13:53:42,766] INFO  Enter TestBase setUp
[2018-11-16 13:53:42,790] INFO  Enter TestBase setUp
[2018-11-16 13:53:42,798] INFO  Enter loadInitProperties() ...
[2018-11-16 13:53:42,798] INFO  --------- List Of Properties ---------
[2018-11-16 13:53:42,925] INFO  Key = seetest.network.tunnelpath ; Value = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 13:53:42,925] INFO  Key = xpath.query ; Value = //*[contains(text(),'Hello')]
[2018-11-16 13:53:42,925] INFO  Key = ios.app.name ; Value = com.experitest.ExperiBank
[2018-11-16 13:53:42,925] INFO  Key = local.app.url ; Value = http://192.168.1.4
[2018-11-16 13:53:42,925] INFO  Key = android.app.name ; Value = com.experitest.ExperiBank/.LoginActivity
[2018-11-16 13:53:42,925] INFO  Key = seetest.cloud.url ; Value = https://cloud.seetest.io:443/wd/hub
[2018-11-16 13:53:42,925] INFO  Key = expected_value ; Value = Hello World!
[2018-11-16 13:53:42,925] INFO  --------- END ---------
[2018-11-16 13:53:42,925] INFO  Exit loadInitProperties() ...
[2018-11-16 13:53:42,925] INFO  Setting up Desired Capabilities
[2018-11-16 13:53:43,025] INFO  Device Query = @os='android'
[2018-11-16 13:53:43,026] INFO  Desired Capabilities setup complete
[2018-11-16 13:54:17,263] INFO  Enter startNetworkTunnel() ...
[2018-11-16 13:54:17,275] INFO  Starting Process with -  C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 13:54:17,277] INFO  Path = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 13:54:17,303] INFO  Process started - C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 13:54:17,303] INFO  Exit TestBase setUp
[2018-11-16 13:54:17,315] INFO  Enter testSampleNetworkTunnelTest()
[2018-11-16 13:54:39,606] INFO  Loading Local App = http://192.168.1.4
[2018-11-16 13:54:39,607] INFO  XPATH Query = //*[@nodeName='PRE']
[2018-11-16 13:55:29,002] INFO  Enter TestBase setUp
[2018-11-16 13:55:29,005] INFO  Enter TestBase setUp
[2018-11-16 13:55:29,008] INFO  Enter loadInitProperties() ...
[2018-11-16 13:55:29,010] INFO  --------- List Of Properties ---------
[2018-11-16 13:55:29,115] INFO  Key = seetest.network.tunnelpath ; Value = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 13:55:29,115] INFO  Key = xpath.query ; Value = //*[contains(text(),'Hello')]
[2018-11-16 13:55:29,115] INFO  Key = ios.app.name ; Value = com.experitest.ExperiBank
[2018-11-16 13:55:29,116] INFO  Key = local.app.url ; Value = http://192.168.1.4
[2018-11-16 13:55:29,116] INFO  Key = android.app.name ; Value = com.experitest.ExperiBank/.LoginActivity
[2018-11-16 13:55:29,116] INFO  Key = seetest.cloud.url ; Value = https://cloud.seetest.io:443/wd/hub
[2018-11-16 13:55:29,116] INFO  Key = expected_value ; Value = Hello World!
[2018-11-16 13:55:29,116] INFO  --------- END ---------
[2018-11-16 13:55:29,116] INFO  Exit loadInitProperties() ...
[2018-11-16 13:55:29,116] INFO  Setting up Desired Capabilities
[2018-11-16 13:55:29,176] INFO  Device Query = @os='android'
[2018-11-16 13:55:29,211] INFO  Desired Capabilities setup complete
[2018-11-16 13:56:01,593] INFO  Enter startNetworkTunnel() ...
[2018-11-16 13:56:01,593] INFO  Starting Process with -  C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 13:56:01,593] INFO  Path = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 13:56:01,609] INFO  Process started - C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 13:56:01,609] INFO  Exit TestBase setUp
[2018-11-16 13:56:01,615] INFO  Enter testSampleNetworkTunnelTest()
[2018-11-16 13:56:29,750] INFO  Loading Local App = http://192.168.1.4
[2018-11-16 13:56:30,571] INFO  XPATH Query = //*[@nodeName='PRE']
[2018-11-16 13:59:48,690] INFO  Enter TestBase setUp
[2018-11-16 13:59:48,692] INFO  Enter TestBase setUp
[2018-11-16 13:59:48,694] INFO  Enter loadInitProperties() ...
[2018-11-16 13:59:48,695] INFO  --------- List Of Properties ---------
[2018-11-16 13:59:48,814] INFO  Key = seetest.network.tunnelpath ; Value = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 13:59:48,814] INFO  Key = xpath.query ; Value = //*[contains(text(),'Hello')]
[2018-11-16 13:59:48,814] INFO  Key = ios.app.name ; Value = com.experitest.ExperiBank
[2018-11-16 13:59:48,814] INFO  Key = local.app.url ; Value = http://192.168.1.4
[2018-11-16 13:59:48,814] INFO  Key = android.app.name ; Value = com.experitest.ExperiBank/.LoginActivity
[2018-11-16 13:59:48,814] INFO  Key = seetest.cloud.url ; Value = https://cloud.seetest.io:443/wd/hub
[2018-11-16 13:59:48,814] INFO  Key = expected_value ; Value = Hello World!
[2018-11-16 13:59:48,814] INFO  --------- END ---------
[2018-11-16 13:59:48,814] INFO  Exit loadInitProperties() ...
[2018-11-16 13:59:48,818] INFO  Setting up Desired Capabilities
[2018-11-16 13:59:48,921] INFO  Device Query = @os='android'
[2018-11-16 13:59:48,922] INFO  Desired Capabilities setup complete
[2018-11-16 14:00:22,538] INFO  Enter startNetworkTunnel() ...
[2018-11-16 14:00:22,539] INFO  Starting Process with -  C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 14:00:22,539] INFO  Path = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 14:00:22,549] INFO  Process started - C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 14:00:22,549] INFO  Exit TestBase setUp
[2018-11-16 14:00:22,557] INFO  Enter testSampleNetworkTunnelTest()
[2018-11-16 14:01:02,923] INFO  Loading Local App = http://192.168.1.4
[2018-11-16 14:01:03,449] INFO  XPATH Query = //*[contains(text(),'Hello')]
[2018-11-16 14:02:16,253] INFO  Expected = null; Actual = Hello World!
[2018-11-16 14:02:16,288] INFO  Enter tearDown()
[2018-11-16 14:02:16,291] INFO  destroying network tunnel process
[2018-11-16 14:03:05,638] INFO  Enter TestBase setUp
[2018-11-16 14:03:05,642] INFO  Enter TestBase setUp
[2018-11-16 14:03:05,646] INFO  Enter loadInitProperties() ...
[2018-11-16 14:03:05,652] INFO  --------- List Of Properties ---------
[2018-11-16 14:03:05,754] INFO  Key = seetest.network.tunnelpath ; Value = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 14:03:05,754] INFO  Key = xpath.query ; Value = //*[contains(text(),'Hello')]
[2018-11-16 14:03:05,754] INFO  Key = ios.app.name ; Value = com.experitest.ExperiBank
[2018-11-16 14:03:05,754] INFO  Key = local.app.url ; Value = http://192.168.1.4
[2018-11-16 14:03:05,754] INFO  Key = android.app.name ; Value = com.experitest.ExperiBank/.LoginActivity
[2018-11-16 14:03:05,754] INFO  Key = seetest.cloud.url ; Value = https://cloud.seetest.io:443/wd/hub
[2018-11-16 14:03:05,758] INFO  Key = expected_value ; Value = Hello World!
[2018-11-16 14:03:05,758] INFO  --------- END ---------
[2018-11-16 14:03:05,758] INFO  Exit loadInitProperties() ...
[2018-11-16 14:03:05,758] INFO  Setting up Desired Capabilities
[2018-11-16 14:03:05,807] INFO  Device Query = @os='android'
[2018-11-16 14:03:05,811] INFO  Desired Capabilities setup complete
[2018-11-16 14:03:40,490] INFO  Enter startNetworkTunnel() ...
[2018-11-16 14:03:40,491] INFO  Starting Process with -  C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 14:03:40,491] INFO  Path = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 14:03:40,500] INFO  Process started - C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 14:03:40,501] INFO  Exit TestBase setUp
[2018-11-16 14:03:40,506] INFO  Enter testSampleNetworkTunnelTest()
[2018-11-16 14:03:40,506] INFO  Loading Local App = http://192.168.1.4
[2018-11-16 14:03:40,506] INFO  XPATH Query = //*[contains(text(),'Hello')]
[2018-11-16 14:03:45,083] INFO  Enter tearDown()
[2018-11-16 14:03:45,083] INFO  destroying network tunnel process
[2018-11-16 14:14:59,780] INFO  Enter TestBase setUp
[2018-11-16 14:14:59,783] INFO  Enter TestBase setUp
[2018-11-16 14:14:59,786] INFO  Enter loadInitProperties() ...
[2018-11-16 14:14:59,791] INFO  --------- List Of Properties ---------
[2018-11-16 14:14:59,849] INFO  Key = local.app.loadtimeout ; Value = 50
[2018-11-16 14:14:59,849] INFO  Key = seetest.network.tunnelpath ; Value = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 14:14:59,849] INFO  Key = xpath.query ; Value = //*[contains(text(),'Hello')]
[2018-11-16 14:14:59,850] INFO  Key = ios.app.name ; Value = com.experitest.ExperiBank
[2018-11-16 14:14:59,850] INFO  Key = local.app.url ; Value = http://192.168.1.4
[2018-11-16 14:14:59,850] INFO  Key = android.app.name ; Value = com.experitest.ExperiBank/.LoginActivity
[2018-11-16 14:14:59,850] INFO  Key = seetest.cloud.url ; Value = https://cloud.seetest.io:443/wd/hub
[2018-11-16 14:14:59,850] INFO  Key = expected_value ; Value = Hello World!
[2018-11-16 14:14:59,850] INFO  --------- END ---------
[2018-11-16 14:14:59,850] INFO  Exit loadInitProperties() ...
[2018-11-16 14:14:59,850] INFO  Setting up Desired Capabilities
[2018-11-16 14:14:59,867] INFO  Device Query = @os='android'
[2018-11-16 14:14:59,867] INFO  Desired Capabilities setup complete
[2018-11-16 14:15:29,846] INFO  Enter startNetworkTunnel() ...
[2018-11-16 14:15:29,846] INFO  Starting Process with -  C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 14:15:29,846] INFO  Path = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 14:15:29,870] INFO  Process started - C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 14:15:29,871] INFO  Exit TestBase setUp
[2018-11-16 14:15:29,880] INFO  Enter testSampleNetworkTunnelTest()
[2018-11-16 14:15:29,880] INFO  Loading Local App = http://192.168.1.4
[2018-11-16 14:15:29,881] INFO  XPATH Query = //*[contains(text(),'Hello')]
[2018-11-16 14:16:23,921] INFO  Enter tearDown()
[2018-11-16 14:16:23,922] INFO  destroying network tunnel process
[2018-11-16 14:17:18,013] INFO  Enter TestBase setUp
[2018-11-16 14:17:18,017] INFO  Enter TestBase setUp
[2018-11-16 14:17:18,021] INFO  Enter loadInitProperties() ...
[2018-11-16 14:17:18,025] INFO  --------- List Of Properties ---------
[2018-11-16 14:17:18,105] INFO  Key = local.app.loadtimeout ; Value = 100
[2018-11-16 14:17:18,105] INFO  Key = seetest.network.tunnelpath ; Value = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 14:17:18,105] INFO  Key = xpath.query ; Value = //*[contains(text(),'Hello')]
[2018-11-16 14:17:18,105] INFO  Key = ios.app.name ; Value = com.experitest.ExperiBank
[2018-11-16 14:17:18,105] INFO  Key = local.app.url ; Value = http://192.168.1.4
[2018-11-16 14:17:18,106] INFO  Key = android.app.name ; Value = com.experitest.ExperiBank/.LoginActivity
[2018-11-16 14:17:18,106] INFO  Key = seetest.cloud.url ; Value = https://cloud.seetest.io:443/wd/hub
[2018-11-16 14:17:18,106] INFO  Key = expected_value ; Value = Hello World!
[2018-11-16 14:17:18,106] INFO  --------- END ---------
[2018-11-16 14:17:18,106] INFO  Exit loadInitProperties() ...
[2018-11-16 14:17:18,106] INFO  Setting up Desired Capabilities
[2018-11-16 14:17:18,151] INFO  Device Query = @os='android'
[2018-11-16 14:17:18,151] INFO  Desired Capabilities setup complete
[2018-11-16 14:17:50,081] INFO  Enter startNetworkTunnel() ...
[2018-11-16 14:17:50,081] INFO  Starting Process with -  C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 14:17:50,081] INFO  Path = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 14:17:50,092] INFO  Process started - C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 14:17:50,092] INFO  Exit TestBase setUp
[2018-11-16 14:17:50,097] INFO  Enter testSampleNetworkTunnelTest()
[2018-11-16 14:17:50,097] INFO  Loading Local App = http://192.168.1.4
[2018-11-16 14:17:50,097] INFO  XPATH Query = //*[contains(text(),'Hello')]
[2018-11-16 14:18:11,219] INFO  Expected = null; Actual = Hello World!
[2018-11-16 14:18:11,223] INFO  Exit testSampleNetworkTunnelTest()
[2018-11-16 14:18:11,226] INFO  Enter tearDown()
[2018-11-16 14:18:11,226] INFO  destroying network tunnel process
[2018-11-16 14:20:08,593] INFO  Enter TestBase setUp
[2018-11-16 14:20:08,599] INFO  Enter TestBase setUp
[2018-11-16 14:20:08,600] INFO  Enter loadInitProperties() ...
[2018-11-16 14:20:08,606] INFO  --------- List Of Properties ---------
[2018-11-16 14:20:08,686] INFO  Key = local.app.loadtimeout ; Value = 100
[2018-11-16 14:20:08,686] INFO  Key = seetest.network.tunnelpath ; Value = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 14:20:08,687] INFO  Key = xpath.query ; Value = //*[contains(text(),'Hello')]
[2018-11-16 14:20:08,687] INFO  Key = expected.value ; Value = Hello World!
[2018-11-16 14:20:08,687] INFO  Key = ios.app.name ; Value = com.experitest.ExperiBank
[2018-11-16 14:20:08,687] INFO  Key = local.app.url ; Value = http://192.168.1.4
[2018-11-16 14:20:08,687] INFO  Key = android.app.name ; Value = com.experitest.ExperiBank/.LoginActivity
[2018-11-16 14:20:08,687] INFO  Key = seetest.cloud.url ; Value = https://cloud.seetest.io:443/wd/hub
[2018-11-16 14:20:08,687] INFO  --------- END ---------
[2018-11-16 14:20:08,687] INFO  Exit loadInitProperties() ...
[2018-11-16 14:20:08,687] INFO  Setting up Desired Capabilities
[2018-11-16 14:20:08,708] INFO  Device Query = @os='android'
[2018-11-16 14:20:08,708] INFO  Desired Capabilities setup complete
[2018-11-16 14:20:39,557] INFO  Enter startNetworkTunnel() ...
